code;date;prod;prod_class;poids;mod;ori;dist_km;dist_class;ori_lon;ori_lat
1;2014-04-01;banane plantain;divers;29700;4.camion;daloa;187;150-200;-6,4478;6,8892
2;2014-04-01;banane plantain;divers;33320;4.camion;daloa;187;150-200;-6,4478;6,8892
3;2014-04-01;mais grain;mais;41340;5.gros camion;katiola;38;000-050;-5,1018;8,1401
4;2014-04-01;bété bété;igname;4560;4.camion;bouandougou;116;100-150;-5,6679;8,2146
5;2014-04-01;bété bété;igname;20420;4.camion;tiéningboué;124;100-150;-5,7241;8,177
6;2014-04-01;bété bété;igname;11940;4.camion;bouandougou;116;100-150;-5,6679;8,2146
7;2014-04-01;arachide décortiquée;arachide;1000;1 moto;bouaké;3;000-050;-5,028;7,6845
8;2014-04-01;arachide décortiquée;arachide;1240;2.voiture;béoumi;60;050-100;-5,5791;7,6714
9;2014-04-01;divers;divers;6220;5.gros camion;dabakala;132;100-150;-4,4272;8,3624
10;2014-04-01;riz paddy iguapé;riz;3800;3.pick-up;bouaké;3;000-050;-5,028;7,6845
11;2014-04-01;mais grain;mais;460;1 moto;bouaké;3;000-050;-5,028;7,6845
12;2014-04-01;oignons;divers;17840;5.gros camion;niger;987;Etranger;2,1323;13,5119
13;2014-04-01;bété bété;igname;7840;4.camion;tiéningboué;124;100-150;-5,7241;8,177
14;2014-04-01;oignons;divers;25160;5.gros camion;niger;987;Etranger;2,1323;13,5119
15;2014-04-01;riz blanchi importé;riz;39220;5.gros camion;divo;219;200-300;-5,3546;5,8403
16;2014-04-01;bété bété;igname;8580;4.camion;bouandougou;116;100-150;-5,6679;8,2146
17;2014-04-01;bété bété;igname;18100;4.camion;satama;127;100-150;-4,3595;7,9043
18;2014-04-01;oignons;divers;20620;5.gros camion;niger;987;Etranger;2,1323;13,5119
19;2014-04-01;arachide décortiquée;arachide;360;2.voiture;sakassou;47;000-050;-5,2914;7,4555
20;2014-04-01;arachide décortiquée;arachide;280;2.voiture;sakassou;47;000-050;-5,2914;7,4555
21;2014-07-01;assawa;igname;4100;3.pick-up;tiébissou;48;000-050;-5,2243;7,1593
22;2014-07-01;koudjan;igname;6980;3.pick-up;didiévi;87;050-100;-4,893;7,1256
23;2014-07-01;oignons;divers;14640;5.gros camion;niger;987;Etranger;2,1323;13,5119
24;2014-07-01;riz paddy iguapé;riz;11820;3.pick-up;sakassou;47;000-050;-5,2914;7,4555
25;2014-07-01;kponan;igname;4460;3.pick-up;kouassikro;124;100-150;-4,7085;7,0329
26;2014-07-01;bété bété;igname;11500;4.camion;kong;225;200-300;-4,6119;9,1503
27;2014-07-01;arachide décortiquée;arachide;140;3.pick-up;satama;127;100-150;-4,3595;7,9043
28;2014-07-01;bété bété;igname;4000;3.pick-up;katiola;38;000-050;-5,1018;8,1401
29;2014-07-01;koudjan;igname;4980;4.camion;m'bahiakro;82;050-100;-4,3378;7,4537
30;2014-07-01;assawa;igname;10820;4.camion;kouassikro;124;100-150;-4,7085;7,0329
31;2014-07-01;banane plantain;divers;29760;5.gros camion;bonon;150;100-150;-6,05;6,9333
32;2014-07-01;banane plantain;divers;29240;5.gros camion;bonon;150;100-150;-6,05;6,9333
